STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,EVAP,MDPR,PGTM,PRCP,RAIN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT10,WT11
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/17/2018,9.17,,,,,1.26,1,0,0,81,87,77,,110,110,,,28,33.1,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/18/2018,11.18,,,,,2.17,1,0,0,79,84,75,,130,130,,,23,30,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/19/2018,11.86,,,,,1,1,0,0,77,82,74,,130,160,,,23,30,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/20/2018,9.4,,,,,1.43,1,0,0,80,88,76,,110,110,,,23,29.1,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/21/2018,4.47,,,,,0,0,0,0,80,89,76,,170,180,,,10.1,14.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/22/2018,6.93,,,,,0,0,0,0,85,96,77,,190,190,,,14.1,21,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/23/2018,9.17,,,,,0,0,0,0,85,95,77,,150,150,,,21.9,25.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/24/2018,10.96,,,,,0,0,0,0,85,94,79,,150,150,,,23.9,29.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/25/2018,9.84,,,,,0.51,1,0,0,84,91,76,,220,220,,,23.9,35.1,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/26/2018,6.71,,,,,0,0,0,0,84,95,75,,120,120,,,18.1,21.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/27/2018,6.26,,,,,0,0,0,0,85,95,77,,150,140,,,18.1,21,,,,,,,,,
